,,,
Código de la CIE-10 tres caracteres,Descripcion  de codigos a tres caracteres,Código de la CIE-10 cuatro caracteres,Descripcion  de códigos a cuatro caracteres
A30,Lepra [ Enfermedad De Hansen ],A301,Lepra tuberculoide
A30,Lepra [ Enfermedad De Hansen ],A302,Lepra tuberculoide limitrofe
A30,Lepra [ Enfermedad De Hansen ],A303,Lepra limitrofe
A30,Lepra [ Enfermedad De Hansen ],A304,Lepra lepromatosa limitrofe
A30,Lepra [ Enfermedad De Hansen ],A305,Lepra lepromatosa
A30,Lepra [ Enfermedad De Hansen ],A308,Otras formas de lepra
A30,Lepra [ Enfermedad De Hansen ],A309,"Lepra, no especificada"
A31,Infecciones Debidas A Otras Micobacterias,A310,Infecciones por micobacterias pulmonares
A31,Infecciones Debidas A Otras Micobacterias,A311,Infeccion cutanea por micobacterias
A31,Infecciones Debidas A Otras Micobacterias,A318,Otras infecciones por micobacterias
A31,Infecciones Debidas A Otras Micobacterias,A319,"Infeccion por micobacteria, no especificada"
A32,Listeriosis,A320,Listeriosis cutanea
A32,Listeriosis,A321,Meningitis y meningoencefalitis listeriana
A32,Listeriosis,A327,Sepsis listeriana
A32,Listeriosis,A328,Otras formas de listeriosis
A32,Listeriosis,A329,"Listeriosis, no especificada"
A33,Tetanos Neonatal,A33X,Tetanos neonatal
A34,Tetanos Obstetrico,A34X,Tetanos obstetrico
A35,Otros Tetanos,A35X,Otros tetanos
A36,Difteria,A360,Difteria faringea
A36,Difteria,A361,Difteria nasofaringea
A36,Difteria,A362,Difteria laringea
A36,Difteria,A363,Difteria cutanea
A36,Difteria,A368,Otras difterias
A36,Difteria,A369,"Difteria, no especificada"
A37,Tos Ferina [ Tos Convulsiva ],A370,Tos ferina debida a Bordetella pertussis
A37,Tos Ferina [ Tos Convulsiva ],A371,Tos ferina debida a Bordetella parapertussis
A37,Tos Ferina [ Tos Convulsiva ],A378,Tos ferina debida a otras especies de Bordetella
A37,Tos Ferina [ Tos Convulsiva ],A379,"Tos ferina, no especificada"
A38,Escarlatina,A38X,Escarlatina
A39,Enfermedad Meningococica,A390,Meningitis meningococica
A39,Enfermedad Meningococica,A391,Sindrome de Waterhouse-Friderichsen
A39,Enfermedad Meningococica,A392,Meningococemia aguda
A39,Enfermedad Meningococica,A393,Meningococemia cronica
A39,Enfermedad Meningococica,A394,"Meningococemia, no especificada"
A39,Enfermedad Meningococica,A395,Enfermedad cardiaca debida a meningococo
A39,Enfermedad Meningococica,A398,Otras formas de enfermedad meningococica
A39,Enfermedad Meningococica,A399,"Enfermedad meningococica, no especificada"
A40,Sepsis estreptocócica,A400,"Sepsis debida a estreptococo, grupo A"
A40,Sepsis estreptocócica,A401,"Sepsis debida a estreptococo, grupo B"
A40,Sepsis estreptocócica,A402,"Sepsis debida a estreptococo, grupo D"
A40,Sepsis estreptocócica,A403,Sepsis debida a Streptococcus pneumoniae
A40,Sepsis estreptocócica,A408,Otras sepsis estreptococicas
A40,Sepsis estreptocócica,A409,"Sepsis estreptococica, no especificada"
A41,Otras sepsis,A410,Sepsis debida a Staphylococcus aureus
A41,Otras sepsis,A411,Sepsis debida a otro estafilococo especificado
A41,Otras sepsis,A412,Sepsis debida a estafilococo no especificado
A41,Otras sepsis,A413,Sepsis debida a Haemophilus influenzae
A41,Otras sepsis,A414,Sepsis debida a anaerobios
A41,Otras sepsis,A415,Sepsis debida a otros organismos gramnegativos
A41,Otras sepsis,A418,Otras sepsis especificadas
A41,Otras sepsis,A419,"Sepsis, no especificada"
A42,Actinomicosis,A420,Actinomicosis pulmonar
A42,Actinomicosis,A421,Actinomicosis abdominal
A42,Actinomicosis,A422,Actinomicosis cervicofacial
A42,Actinomicosis,A427,Sepsis actinomicotica
A42,Actinomicosis,A428,Otras formas de actinomicosis
A42,Actinomicosis,A429,"Actinomicosis, sin otra especificacion"
A43,Nocardiosis,A430,Nocardiosis pulmonar
A43,Nocardiosis,A431,Nocardiosis cutanea
A43,Nocardiosis,A438,Otras formas de nocardiosis
A43,Nocardiosis,A439,"Nocardiosis, no especificada"
A44,Bartonelosis,A440,Bartonelosis sistemica
A44,Bartonelosis,A441,Bartonelosis cutanea y mucocutanea
A44,Bartonelosis,A448,Otras formas de bartonelosis
A44,Bartonelosis,A449,"Bartonelosis, no especificada"
A46,Erisipela,A46X,Erisipela
A48,Otras Enfermedades Bacterianas No Clasificadas En Otra Parte,A480,Gangrena gaseosa
A48,Otras Enfermedades Bacterianas No Clasificadas En Otra Parte,A481,Enfermedad de los legionarios
A48,Otras Enfermedades Bacterianas No Clasificadas En Otra Parte,A482,Enfermedad de los legionarios no neumonica (fiebre de Pontiac)
A48,Otras Enfermedades Bacterianas No Clasificadas En Otra Parte,A483,Sindrome del choque toxico
A48,Otras Enfermedades Bacterianas No Clasificadas En Otra Parte,A484,Fiebre purpurica brasilena
A48,Otras Enfermedades Bacterianas No Clasificadas En Otra Parte,A488,Otras enfermedades bacterianas especificadas
A49,Infeccion Bacteriana De Sitio No Especificado,A490,"Infeccion estafilococica, sitio no especificado "
A49,Infeccion Bacteriana De Sitio No Especificado,A491,"Infeccion estreptococica, sitio no especificado "
A49,Infeccion Bacteriana De Sitio No Especificado,A492,"Infeccion por Haemophilus influenzae, sitio no especificado"
A49,Infeccion Bacteriana De Sitio No Especificado,A493,"Infeccion por micoplasma, sitio no especificado"
A49,Infeccion Bacteriana De Sitio No Especificado,A498,Otras infecciones bacterianas de sitio no especificado
A49,Infeccion Bacteriana De Sitio No Especificado,A499,"Infeccion bacteriana, no especificada"
A50,Sifilis Congenita,A500,"Sifilis congenita precoz, sintomatica"
A50,Sifilis Congenita,A501,"Sifilis congenita precoz, latente"
A50,Sifilis Congenita,A502,"Sifilis congenita precoz, sin otra especificacion"
A50,Sifilis Congenita,A503,Oculopatia sifilitica congenita tardia
A50,Sifilis Congenita,A504,Neurosifilis congenita tardia [neurosifilis juvenil]
A50,Sifilis Congenita,A505,"Otras formas de sifilis congenita tardia, sintomatica"
A50,Sifilis Congenita,A506,"Sifilis congenita tardia, latente"
A50,Sifilis Congenita,A507,"Sifilis congenita tardia, sin otra especificacion"
A50,Sifilis Congenita,A509,"Sifilis congenita, sin otra especificacion"
A51,Sifilis Precoz,A510,Sifilis genital primaria
A51,Sifilis Precoz,A511,Sifilis primaria anal
A51,Sifilis Precoz,A512,Sifilis primaria en otros sitios
A51,Sifilis Precoz,A513,Sifilis secundaria de piel y membranas mucosas
A51,Sifilis Precoz,A514,Otras sifilis secundarias
A51,Sifilis Precoz,A515,"Sifilis precoz, latente"
A51,Sifilis Precoz,A519,"Sifilis precoz, sin otra especificacion"
A52,Sifilis Tardia,A520,Sifilis cardiovascular
A52,Sifilis Tardia,A521,Neurosifilis sintomatica
A52,Sifilis Tardia,A522,Neurosifilis asintomatica
A52,Sifilis Tardia,A523,Neurosifilis no especificada
A52,Sifilis Tardia,A527,Otras sifilis tardias sintomaticas
A52,Sifilis Tardia,A528,"Sifilis tardia, latente"
A52,Sifilis Tardia,A529,"Sifilis tardia, no especificada"
A53,Otras Sifilis Y Las No Especificadas,A530,"Sifilis latente, no especificada como precoz o tardia"
A53,Otras Sifilis Y Las No Especificadas,A539,"Sifilis, no especificada"
A54,Infeccion Gonococica,A540,Infeccion gonococica del tracto genitourinario inferior sin absceso periuretral y de glandula accesoria
A54,Infeccion Gonococica,A541,Infeccion gonococica del tracto genitourinario inferior con absceso periuretral y de glandulas accesorias
A54,Infeccion Gonococica,A542,Pelviperitonitis gonococica y otras infecciones gonococicas genitourinarias
A54,Infeccion Gonococica,A543,Infeccion gonococica del ojo
A54,Infeccion Gonococica,A544,Infeccion gonococica del sistema osteomuscular
A54,Infeccion Gonococica,A545,Faringitis gonococica
A54,Infeccion Gonococica,A546,Infeccion gonococica del ano y del recto
A54,Infeccion Gonococica,A548,Otras infecciones gonococicas
A54,Infeccion Gonococica,A549,"Infeccion gonococica, no especificada"
A55,Linfogranuloma (Venereo) Por Clamidias,A55X,Linfogranuloma (venereo) por clamidias
A56,Otras Enfermedades De Transmision Sexual Debidadas A Clamidias,A560,Infeccion del tracto genitourinario inferior debida a clamidias
A56,Otras Enfermedades De Transmision Sexual Debidadas A Clamidias,A561,Infeccion del pelviperitoneo y otros organos genitourinarios debida a clamidias
A56,Otras Enfermedades De Transmision Sexual Debidadas A Clamidias,A562,"Infecciones del tracto genitourinario debidas a clamidias, sin otra especificacion"
A56,Otras Enfermedades De Transmision Sexual Debidadas A Clamidias,A563,Infeccion del ano y del recto debida a clamidias
A56,Otras Enfermedades De Transmision Sexual Debidadas A Clamidias,A564,Infeccion de faringe debida a clamidias
A56,Otras Enfermedades De Transmision Sexual Debidadas A Clamidias,A568,Infeccion de transmision sexual de otros sitios debida a clamidias
A57,Chancro Blando,A57X,Chancro blando
A58,Granuloma Inguinal,A58X,Granuloma inguinal
A59,Tricomoniasis,A590,Tricomoniasis urogenital
A59,Tricomoniasis,A598,Tricomoniasis de otros sitos
A59,Tricomoniasis,A599,"Tricomoniasis, no especificada"
A60,Infecion Anogenital Debida A Virus Del Herpes [Herpes Simple ],A600,Infeccion de genitales y trayecto urogenital debida a virus del herpes [herpes simple]
A60,Infecion Anogenital Debida A Virus Del Herpes [Herpes Simple ],A601,Infeccion de la piel perianal y recto por virus del herpes simple
A60,Infecion Anogenital Debida A Virus Del Herpes [Herpes Simple ],A609,"Infeccion anogenital por virus del herpes simple, sin otra especificacion"
A63,"Otras Enfermedades De Transmision Predominantemente Sexual, No Clasificadas En Otra Parte",A630,Verrugas (venereas) anogenitales
A63,"Otras Enfermedades De Transmision Predominantemente Sexual, No Clasificadas En Otra Parte",A638,"Otras enfermedades de transmision predominantemente sexual, especificadas"
A64,Enfermedad De Transmision Sexual No Especificada,A64X,Enfermedad de transmision sexual no especificada
A65,Sifilis No Venerea,A65X,Sifilis no venerea
A66,Frambesia,A660,Lesiones iniciales de frambesia
A66,Frambesia,A661,Lesiones papilomatosas multiples y frambesia con paso de cangrejo
A66,Frambesia,A662,Otras lesiones precoces de la piel en la frambesia
A66,Frambesia,A663,Hiperqueratosis de frambesia
A66,Frambesia,A664,Goma y ulceras de frambesia
A66,Frambesia,A665,Gangosa
A66,Frambesia,A666,Lesiones frambesicas de los huesos y de las articulaciones
A66,Frambesia,A667,Otras manifestaciones de frambesia
A66,Frambesia,A668,Frambesia latente
A66,Frambesia,A669,"Frambesia, no especificada"
A67,Pinta [ Carate ],A670,Lesiones primarias de la pinta
A67,Pinta [ Carate ],A671,Lesiones intermedias de la pinta
A67,Pinta [ Carate ],A672,Lesiones tardias de la pinta
A67,Pinta [ Carate ],A673,Lesiones mixtas de la pinta
A67,Pinta [ Carate ],A679,"Pinta, no especificada"
A68,Fiebres Recurrentes,A680,Fiebre recurrente transmitida por piojos
A68,Fiebres Recurrentes,A681,Fiebre recurrente transmitida por garrapatas
A68,Fiebres Recurrentes,A689,"Fiebre recurrente, no especificada"
A69,Otras Infecciones Causadas Por Espiroquetas,A690,Estomatitis ulcerativa necrotizante
A69,Otras Infecciones Causadas Por Espiroquetas,A691,Otras infecciones de Vincent
A69,Otras Infecciones Causadas Por Espiroquetas,A692,Enfermedad de Lyme
A69,Otras Infecciones Causadas Por Espiroquetas,A698,Otras infecciones especificadas por espiroquetas
A69,Otras Infecciones Causadas Por Espiroquetas,A699,"Infeccion por espiroqueta, no especificada"
A70,Infeccion Debida A Clamydia Psittaci,A70X,Infeccion debida a Chlamydia psittaci
A71,Tracoma,A710,Estado inicial de tracoma
A71,Tracoma,A711,Estado activo de tracoma
A71,Tracoma,A719,"Tracoma, no especificado"
A74,Otras Enfermedades Causadas Por Clamidias,A740,Conjuntivitis por clamidias
A74,Otras Enfermedades Causadas Por Clamidias,A748,Otras enfermedades por clamidias
A74,Otras Enfermedades Causadas Por Clamidias,A749,"Infeccion por clamidias, no especificada"
A75,Tifus,A750,Tifus epidemico debido a Rickettsia prowazekii transmitido por piojos
A75,Tifus,A751,Tifus recrudescente [enfermedad de Brill]
A75,Tifus,A752,Tifus debido a Rickettsia typhi
A75,Tifus,A753,Tifus debido a Rickettsia tsutsugamushi
A75,Tifus,A759,"Tifus, no especificado"
A77,Fiebre Maculosa [Rickettsiosis Transmitida Por Garrapatas],A770,Fiebre maculosa debida a Rickettsia rickettsii
A77,Fiebre Maculosa [Rickettsiosis Transmitida Por Garrapatas],A771,Fiebre maculosa debida a Rickettsia conorii
A77,Fiebre Maculosa [Rickettsiosis Transmitida Por Garrapatas],A772,Fiebre maculosa debida a Rickettsia siberica
A77,Fiebre Maculosa [Rickettsiosis Transmitida Por Garrapatas],A773,Fiebre maculosa debida a Rickettsia australis
A77,Fiebre Maculosa [Rickettsiosis Transmitida Por Garrapatas],A778,Otras fiebres maculosas
A77,Fiebre Maculosa [Rickettsiosis Transmitida Por Garrapatas],A779,"Fiebre maculosa, no especificada"
A78,Fiebre Q,A78X,Fiebre Q
A79,Otras Rickettsiosis,A790,Fiebre de las trincheras
A79,Otras Rickettsiosis,A791,Rickettsiosis pustulosa debida a Rickettsia akari
A79,Otras Rickettsiosis,A798,Otras rickettsiosis especificadas
A79,Otras Rickettsiosis,A799,"Rickettsiosis, no especificada"
A80,Poliomielitis Aguda,A800,"Poliomielitis aguda paralitica, asociada a vacuna"
A80,Poliomielitis Aguda,A801,Poliomielitis aguda paralitica debida a virus salvaje importado
A80,Poliomielitis Aguda,A802,Poliomielitis aguda paralitica debida a virus salvaje autoctono
A80,Poliomielitis Aguda,A803,Otras poliomielitis agudas paraliticas y las no especificadas
A80,Poliomielitis Aguda,A804,Poliomielitis aguda no paralitica
A80,Poliomielitis Aguda,A809,"Poliomielitis aguda, sin otra especificacion"
A81,Infecciones Del Sistema Nervioso Central Por Virus Atipico,A810,Enfermedad de Creutzfeldt-Jakob
A81,Infecciones Del Sistema Nervioso Central Por Virus Atipico,A811,Panencefalitis esclerosante subaguda
A81,Infecciones Del Sistema Nervioso Central Por Virus Atipico,A812,Leucoencefalopatia multifocal progresiva
A81,Infecciones Del Sistema Nervioso Central Por Virus Atipico,A818,Otras infecciones del sistema nervioso central por virus atipico
A81,Infecciones Del Sistema Nervioso Central Por Virus Atipico,A819,"Infecciones del sistema nervioso central por virus atipico, sin otra especificacion"
A82,Rabia,A820,Rabia selvatica
A82,Rabia,A821,Rabia urbana
A82,Rabia,A829,"Rabia, sin otra especificacion"
A83,Encefalitis Viral Transmitida Por Mosquitos,A830,Encefalitis japonesa
A83,Encefalitis Viral Transmitida Por Mosquitos,A831,Encefalitis equina del oeste
A83,Encefalitis Viral Transmitida Por Mosquitos,A832,Encefalitis equina del este
A83,Encefalitis Viral Transmitida Por Mosquitos,A833,Encefalitis de San Luis
A83,Encefalitis Viral Transmitida Por Mosquitos,A834,Encefalitis australiana
A83,Encefalitis Viral Transmitida Por Mosquitos,A835,Encefalitis de California
A83,Encefalitis Viral Transmitida Por Mosquitos,A836,Enfermedad por virus Rocio
A83,Encefalitis Viral Transmitida Por Mosquitos,A838,Otras encefalitis virales transmitidas por mosquitos
A83,Encefalitis Viral Transmitida Por Mosquitos,A839,"Encefalitis viral transmitida por mosquitos, sin otra especificacion"
